file,param,epoch,creation_utc,bytes
irtamc_hmf2_1789180200.txt,hmf2,1789180200,2026-09-15T02:33:54.604599+00:00,18081
irtamc_fof2_1789181100.txt,fof2,1789181100,2026-09-15T02:50:33.659186+00:00,18088
irtamc_hmf2_1789181100.txt,hmf2,1789181100,2026-09-15T02:51:10.604018+00:00,18081
irtamc_fof2_1789182000.txt,fof2,1789182000,2026-09-15T03:02:17.924817+00:00,18088
irtamc_hmf2_1789182000.txt,hmf2,1789182000,2026-09-15T03:02:35.675300+00:00,18081
irtamc_fof2_1789182900.txt,fof2,1789182900,2026-09-15T03:19:14.716802+00:00,18088
irtamc_hmf2_1789182900.txt,hmf2,1789182900,2026-09-15T03:19:30.636925+00:00,18081
irtamc_fof2_1789183800.txt,fof2,1789183800,2026-09-15T03:30:37.280626+00:00,18088
irtamc_hmf2_1789183800.txt,hmf2,1789183800,2026-09-15T03:31:05.914603+00:00,18081
irtamc_fof2_1789184700.txt,fof2,1789184700,2026-09-15T03:47:45.973777+00:00,18088
irtamc_hmf2_1789184700.txt,hmf2,1789184700,2026-09-15T03:48:02.116629+00:00,18081
irtamc_fof2_1789185600.txt,fof2,1789185600,2026-09-15T04:04:40.428079+00:00,18088
irtamc_hmf2_1789185600.txt,hmf2,1789185600,2026-09-15T04:04:56.495170+00:00,18081
irtamc_fof2_1789186500.txt,fof2,1789186500,2026-09-15T04:16:03.143703+00:00,18088
irtamc_hmf2_1789186500.txt,hmf2,1789186500,2026-09-15T04:16:18.813479+00:00,18081
irtamc_fof2_1789187400.txt,fof2,1789187400,2026-09-15T04:32:57.596766+00:00,18088
irtamc_hmf2_1789187400.txt,hmf2,1789187400,2026-09-15T04:33:13.647178+00:00,18081
irtamc_fof2_1789188300.txt,fof2,1789188300,2026-09-15T04:49:55.281962+00:00,18088
irtamc_hmf2_1789188300.txt,hmf2,1789188300,2026-09-15T04:50:11.125216+00:00,18081
irtamc_fof2_1789189200.txt,fof2,1789189200,2026-09-15T05:01:19.105309+00:00,18088
irtamc_hmf2_1789189200.txt,hmf2,1789189200,2026-09-15T05:01:36.876296+00:00,18081
irtamc_fof2_1789190100.txt,fof2,1789190100,2026-09-15T05:18:14.604531+00:00,18088
irtamc_hmf2_1789190100.txt,hmf2,1789190100,2026-09-15T05:18:30.724527+00:00,18081
irtamc_fof2_1789191000.txt,fof2,1789191000,2026-09-15T05:35:08.053907+00:00,18088
irtamc_hmf2_1789191000.txt,hmf2,1789191000,2026-09-15T05:35:23.763362+00:00,18081
irtamc_fof2_1789191900.txt,fof2,1789191900,2026-09-15T05:46:29.478515+00:00,18088
irtamc_hmf2_1789191900.txt,hmf2,1789191900,2026-09-15T05:46:45.155461+00:00,18081
irtamc_fof2_1789192800.txt,fof2,1789192800,2026-09-15T06:03:22.253020+00:00,18088
irtamc_hmf2_1789192800.txt,hmf2,1789192800,2026-09-15T06:03:38.119632+00:00,18081
irtamc_fof2_1789193700.txt,fof2,1789193700,2026-09-15T06:20:17.166449+00:00,18088
irtamc_hmf2_1789193700.txt,hmf2,1789193700,2026-09-15T06:20:32.926831+00:00,18081
irtamc_fof2_1789194600.txt,fof2,1789194600,2026-09-15T06:31:40.048301+00:00,18088
irtamc_hmf2_1789194600.txt,hmf2,1789194600,2026-09-15T06:31:56.692241+00:00,18081
irtamc_fof2_1789195500.txt,fof2,1789195500,2026-09-15T06:48:35.126708+00:00,18088
